,Company,Job Title,Location,Rating,Salary,Description
0, ProKarma,Data Scientist,"Portland, OR",,"136,000","Description  ProKarma is currently seeking a Data Scientist to join our team as a full-time employee in Portland, OR!  Responsibilities Interviewing key project stakeholders, documenting findings and making detailed recommendations Assess and frame the business problem, success criteria, and risks Acquire and blend disparate data sources, which could be any format of internal structured, unstructured, external, or high volume sources Exploratory data mining & analysis Guide clients through processes to identify meaningful predictors and then engineer representative features into the data set Understand best practices on core set predictive use cases & be familiar with model libraries Understands CRISP-DM methodology Qualifications Minimum 3 years of relevant data science experience Ph.D. or Master’s Degree in operations research, applied statistics, data mining, machine learning, physics or a related quantitative discipline preferred Experience with Hive SQL and Spark and/or Python and/or Scala Deep understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, and recommendation and optimization algorithms Strong analytical and problem-solving skills Excellent written and verbal communication skills  In order to provide equal employment and advancement opportunities to all individuals, employment decisions at ProKarma are based exclusively on merit.  ProKarma does not discriminate in employment opportunities or practices on the basis of race, color, religion, sex, including gender identity and identity expression, national origin, age, or any other characteristic protected by law.   "
1, The Standard,Data Scientist,"Portland, OR",,"106,000"," Overview If you want to make a positive difference and stand out from the crowd, youll fit in at The Standard (www.standard.com). Through our retirement plans and insurance products and services, we help people achieve financial well-being and peace of mind. Come join us and share our passion for serving our customers in a positively different way.  The Standard Culture  The Standard values a diverse and engaged workforce. Youll experience an open and welcoming environment with authentic people who are thoughtful and intentional with high integrity. Youll find a very collaborative approach when it comes to planning and decision making. Youll have the independence to achieve results within the framework of the values and culture of the organization. In a culture that places high value on continuous improvement and possibilities, your ideas and insights regarding creative and innovative approaches are expected and encouraged. Portland Oregon Something for Everyone Good Food Awards . Recognizing Portland and Oregon-based companies in 2016, 2017, and 2018.  Beer.  70+ breweries  Wine.  250 wineries within 60 miles of downtown Portland and over 700 in the state.  Parks.  37,000 acres of parks in the Portland metro area.  Cycling.  A bike-friendly city.  Enjoy the great outdoors.  Hiking, camping, boating, skiing, and the Oregon Coast. Lots of beautiful places to explore.  Professional Sports.  Basketball, Soccer and Hockey teams.  Arts and Entertainment.  Symphony, Ballet, Theater, Museums. Responsibilities Youll be part of a strategic multi-million dollar investment in data and analytics sponsored at the highest level of our organization. You will be partnering with stakeholders and executing on advanced analytics projects. Youll bring best practices, a track record of fostering partnerships, and an approach that delivers results. With stakeholder input, youll manage projects to inform the enterprise of trends, competitive intelligence, and operational insights. Youll leverage sophisticated analytic tools and methodologies in support of a winning strategy in a continually changing business environment. Youll provide strategic input on projects both large and small. Youll report to the Director of Advanced Analytics.   You'll work as part of a team of data scientists to develop an information advantage utilizaing advanced analytical capabilities while working to develop the team's reputation as highly skilled experts in the area of data science. You'll partner with internal stakeholders and leaders to understand their business and business challenges and identify trends patterns, and develop recommendations. You'll develop hypotheses, convert these into the right analytical problems and solutions and communicate results back to your internal business customers to drive effective outcomes. You'll proactively identify opportunities to leverage advanced analytical capabilities to drive business results.   Opportunity areas include loss mitigation, fraud detection, channel and service optimization, operational efficiency and predicting customer value. You'll conduct advanced analytics, leveraging predictive modeling, machine learning, simulation, optimization and other techniques to deliver insights or develop analytical solutions to achieve business objectives within your assigned area of focus. You'll work with large data sets and develop algorithms and supporting code to enusre the highest quality data. You'll use your skills within the context of industry practices and company policies and procedures.   Youll develop project plans and timelines to ensure projects are delivered with the highest quality, on time and within budget. Youll be innovative and monitor emerging analytical methods, data sources and technology that can impact business results. Qualifications Your Qualifications:  Youll have at least one to two years of related experience in a data science role. Youll have experience with data mining, machine learning, statistical modeling, and underlying methods and algorithms. Youll have extensive experience in analyzing large data sets using software such as R, Python and Power BI. You are proficient in working with SQL and databases. Experience with Microsoft Azure cloud computing platform a plus. You have a proven track record of using data to provide actionable and impactful business results Prior experience within the insurance, financial services or healthcare industry preferred  Competencies you possess:  Effective communications skills that instill confidence with internal and external audiences and translate complex concepts to non-technical stakeholders to help enable understanding and drive informed business decisions. A low-ego, team-oriented and collaborative approach in keeping with the corporate culture. Solutions-oriented mind-set; able to work effectively through complex problems. Easily establish yourself as a trusted partner and the ability to build effective partnerships across all areas of the organization and with colleagues at all levels. Intellectual curiosity, a passion for data and a results orientation.  Standard Insurance Company, The Standard Life Insurance Company of New York, Standard Retirement Services, Inc., StanCorp Equities, Inc. and StanCorp Investment Advisers, Inc., marketed as The Standard, are Affirmative Action/Equal Opportunity employers. All qualified applicants will receive consideration for employment without regard to race, religion, color, sex, national origin, gender, sexual orientation, age, disability, or veteran status or any other condition protected by federal, state or local law. The Standard offers a drug and alcohol free work environment where possession, manufacture, transfer, offer, use of or being impaired by an illegal substance while on Standard property, or in other cases which the company believes might affect operations, safety or reputation of the company is prohibited. The Standard requires a criminal background investigation, drug test, employment, education and licensing verification as a condition of employment. All employees of The Standard must be bondable.   For more information regarding your Equal Employment Opportunity applicant rights, click here.   Individuals with disabilities who need assistance or accommodation with the application process should contact HR Direct at 971-321-7871. This number is only for the use of individuals with disabilities who need accommodation with the application process. General inquiries about application status will not be addressed."
2, DiscoverOrg,Data Scientist,"Vancouver, WA",,"112,000"," Do you consider yourself a Data Scientist or want to move into that fast growing space? Do you have a degree and project or professional experience? Do you love statistics and the manipulation of data? Are you interested in Big Data environments? Do you have a solid experience with 'R' , SQL, Python, and Java development? Do any of these words sound familiar to you: Naïve Bayes, Bayesian Graphical Networks, NLP, Random Forest, Linear, Decision Tree, Gaussian, Regression?   If so, you may want to join our expanding data science and machine learning team. Their primary mission is to increase the scale and automation of data acquisition, cleansing, refinement, enrichment, and curation. You will be working on a cross-functional collaborative team. Teamwork is tantamount to success in this environment.   We are looking to add smart and confident people, who know when to seek advice, how to collaborate with a multi-functional team, and how to focus on practical solutions for productization.   The ideal candidate is a collaborative, solutions-oriented thinker with a strong background processing large data sets, applying analytical rigor and statistical methods, and driving toward actionable insights and practical solutions that can make an immediate impact.   Here's what a typical day will look like as the Data Scientist:  Analyse data to gain deep understanding of the problem domains Design algorithms for predictive modeling and clustering. Develop working prototypes of algorithms. Evaluate the performance of various algorithms/models/strategies Communicate and write research and technical reference reports to document not only the successful solutions, but also the failures as well Implement results into robust frameworks and tools, and help transition them into into production systems Continuously get better - seek out opportunities to further develop our analytical, engineering, and statistical toolkit Data/problem analysis Research the solution space. Proof of concept solutions to demonstrate value to business stakeholders Reports covering research results and software requirements Software/algorithm development (productization/programming) Requirements specifications and technical documents for developed tools and libraries  You're likely a great fit for this opportunity if you have:  BA/BS degree (or equivalent experience) in a strongly quantitative field such as: Statistics, Applied Mathematics, Physics, Operations Research, Computer Science, or Econometrics with 2+ years of analytics experience or equivalent combination of education and experience. Familiarity with wide range of machine learning algorithms, including, NLP, neural networks, kernel methods, dimensionality reduction, bayesian inferencing graph algorithms, and hidden Markov models. Strong analytical skills and comfortable working with large data sets Ability to transform data into actionable insights. Strong programming skills in at least one some or all of the following: Java, R, Python, Spark, Hive, Pig, Hadoop, Scala, Julia, C#, C++ Experience with SQL and relational databases. Experience with unstructured & semi-structured data sources and requisite processing Perks and Benefits: Competitive salary and bonuses Medical, Dental, Vision Coverage 401(k) with employer match Work from home flexibility Competitive PTO Paid Sick Leave Short-Term & Long-Term Disability Life Insurance, AD&D Insurance In-office soda machines Quarterly offsite company awards Annual company offsite event 10+ employee activity clubs Why join DiscoverOrg? An  8-time honoree of the Inc. 5000  fastest growing private companies Is honored to be a  2017 Fortune Magazine Best Workplaces, and Is recognized as a  2017 Inc. Magazine Top 50 Best Workplaces Was named the  2017 Growth Company of the Year  at the Oregon Technology Awards Software Industry (SIIA)  2017 Growth Company of the Year A three time recipient of the  Deloitte Fast 500  award Supported by an award-winning  Learning and Development  team Is led by an  EY Entrepreneur of the Year finalist Has an impressive  4.4 star rating on Glassdoor  DiscoverOrg is an Equal Employment Opportunity (EEO) employer. We are committed to promoting a diverse and inclusive work environment. Our policy on equal opportunity and anti-discrimination applies to all terms and conditions of employment."
3, Simple,Data Scientist,"Portland, OR",,"112,000","The Company:  We're a tech company that's changing how people bank and think about their finances. We value empathy, curiosity, craft and efficacy. Our mission is to help people feel confident with their money. We do that by bringing humanity, elegance and ease to the consumer banking experience. And we make banking beautiful.  The Team  Analytics at Simple is responsible for powering Simple's product, marketing, strategy and operations with data. We are a mix of analysts and engineers who shape how Product, Marketing, Risk, and Simple as a whole use data to create value for Simple. In addition, as part of the Finance and Analytics department, we are the voice of actionable insights on Simple's management team.   You'll work with a variety of teams at Simple, focusing especially on our Risk team, helping them balance positive customer outcomes with loss exposure to Simple, and on our Product teams, helping them leverage Simple's data to create valuable insights for customers.  About You:  You have a passion for data and have spent your career developing a strong analytics toolkit and applying it in a business environment. You're a problem-solver: given a tough data question, you're the one who comes up with a clever approach. Collaborating with stakeholders comes naturally to you, and you recognize how critical that partnership is for building actionable data models. You are excited to be a mentor and teach others what you know. You want to be part of an organization that's building something meaningful.  What You'll Do All Day  As a Data Scientist at Simple, you will own developing statistical and other data models to drive our risk decisions, automate customers' banking experience, and provide actionable business insights. You will work directly with Simple's operational and product teams to identify where data can deliver the most value. You will be a data leader in the company, acting as a mentor and trusted source for data, insights, and methodology. You'll do this through:  Developing and maintaining statistical models that automate decisions about fraud and other customer risk Using statistics and other analytics and modeling techniques to develop customer-level insights to be surfaced in Simple's product Acting as the ""technical expert"" for Simple's analytics team, owning and/or partnering with other analysts on projects that require advanced statistics or other complex methodologies (e.g., customer clustering, marketing lookalike audiences) Identifying and championing opportunities to use data to create customer value and reduce cost for Simple Presenting on findings and takeaways across the company, to everyone from executives to peers Acting as a data thought leader for the company and providing technical mentorship to analytics teammates We'd Like To See: 5+ years experience in analytics, data science, statistics, economics, or related field Experience with risk or other financial modeling a plus Well-versed in SQL (or related database language) and in Python, R or other statistical packages Strong knowledge of statistics and predictive analytics Demonstrated experience developing data models that inform business decisions Excellent interpersonal skills, with a track record of successful collaboration with a variety of business partners Ability to thrive in a dynamic environment and drive change Details:  We recognize the dire lack of diversity in our industry, and we're not okay with it. We actively seek to address it with our hiring and retention processes, as well as our office culture. If you're on the fence about whether you're a fit, we say go for it, and apply!  Why Simple's a Great Place to Work: Based in Portland, Oregon-- a beautiful place to live and work. Competitive salary and benefits package. A supportive and nurturing place to work. We actively consider how we can improve employees' quality of life--both inside and outside the office. Committed to hiring quality human beings. Simple is a place where others will watch out for you and help you learn. We actually like and respect each other. We give a damn about what we do, both as individual contributors and as a company on a mission to change banking. We're passionate and nerdy about our work; in fact we're kind of that way about things outside of work, too.  In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. Email our team at careers@simple.com if you need an accommodation in the application process.   A background check will be required for this opportunity.   Simple provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, Simple complies with all applicable state and local laws governing nondiscrimination in employment in every location in which the company has employees. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.   By submitting this application, you certify that the facts contained in your application are true and complete to the best of your knowledge. If you are employed, false statements on your application will be grounds for termination."
4, First Tech Federal Credit Union,Quantitative Data Analyst,"Hillsboro, OR",,"62,000","Our Enterprise Risk department is looking for a Quantitative Data Analyst to join their team. In this role, you will be responsible for developing and presenting enterprise risk models and write and execute code proficiently to create and produce monthly and quarterly risk reports. Qualified candidates will have 3 years of experience applying and developing analytical methods, including data mining techniques and statistical modeling. Having previous experience with quantitative modeling and BI tools, including SQL, Python, Tableau, SAS, and/or R will help you succeed.  Here’s what you can expect from the job and what you need to be successful: Job Duties: Perform modeling and model validation activities as per SR 11-7 guidance to mitigate model risk Execute effective challenge on data and model validation activities. Analyze and challenge the data used in model development, data extraction and transformation, data quality and control, assessment of underlying theory used in model design, and perform statistical test to assess model performance and stability, including back-testing, sensitivity analysis and bench marking Translate complex statistical and data issue findings into issue mitigation plan understandable by business leaders Aggregate data from multiple source systems and prepare presentations for senior management and business lines Research and analyze root causes of identified risk trends. Access other reporting, data, or productions systems to research root causes of trends or validate data integrity Document model and data validation results and resolve identified issues in partnership with business lines Essential Skills: 2-3 years of working experience in banking or financial services as a Data Scientist, Statistician, Quantitative Risk Analyst, Model Developer, Model Validator, or similar Advanced understanding of statistical modeling, econometric forecasting, machine learning, data extraction and processing techniques; and demonstrated ability to apply such methods Experience using analytics tools, including SAS, Python, R, and/or Matlab, Excel VBA and SQL, and Tableau experience is a plus Knowledge of regulatory requirements related to model risk management and data integrity Strong analytical and problem solving skills with an exemplary attention to detail Exemplary communication skills; oral and written, with ability to translate complex statistical and quantitative analysis into simple real-real world inferences for business teams and senior management Ability to operate as a self-starter who is highly organized and works well independently or within a team environment Ability to work efficiently and prioritize projects in a fast-paced environment with tight deadlines and high volume peaks while producing high-quality work Education:  Master's degree in economics, mathematics, statistics, financial engineering, quantitative finance, or actuarial sciences. Doctoral degree preferred. Will accept any suitable combination of education, experience, or training Location:  Hillsboro, OR 97124 First Tech is not currently offering Visa sponsorship or transfers I acknowledge that if hired by the company, employment is on an at-will basis. This means the company is free to terminate my employment at any time, with or without cause or advance notice. Similarly, I am free to terminate my employment with the company at any time for any reason. I agree to conform to the rules and regulations of the company, and I understand that the company has complete discretion to modify such rules and regulations at any time, except that it will not modify its policy of employment at-will."
5, Goldstar,Data Scientist - Machine Learning,"Portland, OR",,"154,000"," Goldstar is looking for an experienced data scientist with expertise in using machine learning to build recommendation and personalization engines to join our team and help grow our system of applications and services. This position is located in Portland, OR. We aren’t looking for remote folks right now.   Goldstar is the industry leading event discovery platform: We’re the folks that help you find something great to do, usually at a discount, every night of the week. We believe the entertainment industry is fundamentally broken and we’re trying to do something about it. The good news is that we’re on our way, and our 10 million users love us. Don’t believe it? Check out our reviews on the app store: https://itunes.apple.com/us/app/goldstar-events/id...   We’re seeking engineers/data scientists to help us make going out just as easy as staying home and streaming. Goldstar members are the kinds of people that go out -- all the time -- as a way of life. That doesn’t have to be you, but maybe you know someone like that. We’re building our product for them.   Our technology stack is primarily Ruby on Rails based, so you should have some basic knowledge of working with it. For machine learning, we use a number of open-source projects running in AWS. We don’t expect anyone to have experience in all of those technologies and we are constantly evaluating other things to see if they are right for our team and mission. We deliver high quality software in a way that values short cycle times and feedback loops while continuously learning and improving.   If you join our team, you’ll have significant influence on the architecture and technical decisions of the projects you work on, and those of the team in general. You’ll work collaboratively with the rest of the company to build a world class user experience. You’ll help millions of people go out more and experience their community, and you’ll be helping thousands of theaters, musicians and comedians by building their audience.   We want professional and experienced data scientists who can ship improvements on a daily basis. We have no time or patience for ""Rockstars"" or brogrammers. We have offices in Pasadena, CA and Portland, OR. We're excited to help relocate the right people within the U.S. Most of all, we’re looking for people who know how to ship great applications.   Goldstar is committed to cultivating an inclusive workplace that promotes and values diversity. Our mission is to help everyone love live entertainment as much as we do, and we can’t do that without a team as diverse (in age, gender identity, race, sexual orientation, ethnicity and perspective) as our customers and the live entertainment industry as a whole.  Requirements Experience designing and analyzing experiments to understand ecosystems, users, and long-term trends Experience designing, training and optimizing Machine Learning algorithms Broad knowledge of personalization and recommendation services and engines Basic understanding of deploying ML applications to AWS Track record of collaborating with product engineers to use ML services in consumer products Benefits Top of market salaries based on experience Stock options in our fast growing company as well as a complete 401k package that includes both traditional and roth 401k plans with a company match Generous medical, dental and vision benefits Monthly employee ‘comp’ tickets to events Flexible, professional work environment that is still fun and family friendly Professional growth through our conference policy"
6, Nike,"Data Scientist, Personalization","Portland, OR",,"154,000"," Become a Part of the NIKE, Inc. Team   NIKE, Inc. does more than outfit the world's best athletes. It is a place to explore potential, obliterate boundaries and push out the edges of what can be. The company looks for people who can grow, think, dream and create. Its culture thrives by embracing diversity and rewarding imagination. The brand seeks achievers, leaders and visionaries. At Nike, it?s about each person bringing skills and passion to a challenging and constantly evolving game.   Consumer conversations and relationships fuel the work of Nike Marketing. It?s the fuel that has built one of the most recognizable brands in the world. Nike Marketing captures the science, art and emotion of Nike's innovations and connects them with the hearts, minds and souls of athletes. The pros in brand strategy, advertising, digital engagement, product presentation, consumer analytics and more foster consumer connections via channels ranging from Nike Stores to social media. They approach marketing in a way that only Nike can: taking risks, pushing boundaries and inspiring consumers to be champions.  *Description**  The Personalization team in Nike?s Global Consumer Knowledge Center of Excellence is a fast growing team responsible for building and deepening a holistic view of Nike?s consumers through data and analytics, and applying those insights to personalize and optimize incredible digital services and experiences for our consumers.   We are looking for scientists with tech industry experience to help build our core data products and machine learning and statistical modeling processes. We want someone who loves modeling _and_ writing code, someone who likes to dive in, solve problems, and create world class experiences for Nike consumers. This is a young and growing team, so the ideal candidate is ready for a leadership role in a collaborative environment, helping to drive team excellence and defining and socializing best practices for the team. We are deeply integrated with our partner data and services engineering teams, and collaborate extensively with all of Nike?s digital product teams to help drive design and then deliver personalized experiences. You should be ready for partnership with teams across the company and excited about green spaces in which to make your mark.   A candidate should be experienced in state of the art statistical modeling or machine learning algorithms, but also be able to think in terms of the compute processes, distributed data, and coupling between systems.   We?re looking for scientists who thrive in a dynamic setting. Communication and leadership skills are key. You?ll get to work with scientists with a breadth of experiences across industry and academia, including in machine learning, statistics, neuroscience, and physics. You?ll be expected to go deep and learn with them, as a peer and as a team.  Key responsibilities will include:  + Develop models that drive personalization of digital experiences for Nike consumers ? e.g. suggesting products with an aesthetic match to products a consumer has shown interest in through computer vision, consumer behavior patterns, or some new approach you devise.   + Develop models that help us understand and describe our customers ? e.g. learning how to extract deep interests and tendencies from event streams.   + Develop production code for both batch and real time models in collaboration with our data and service engineering teams.   + Manage an experimentation portfolio that validates and feeds back into our core customer understandings.   + Build processes to support fast, iterative experimentation, both for model creation and for customer-facing products.   + Define best practices for scientific code development and deployment.  *Qualifications** Education:  + B.S. in CS, statistics, applied math, physics or other quantitative discipline   + Advanced degree (Masters or PhD) preferred  Experience:  + 2 - 7 years of experience in a role developing predictive or explanatory models and/or experimentation processes   + Experience working with data and analytics   + Experience with moderate to large-scale data sets (>100GB) preferred   + Experience with neural nets and deep architectures preferred  Required Skills:  + Core mathematical ability to understand, utilize and innovate on state-of-the art machine learning algorithms and/or statistical modeling   + Expertise in at least one production-quality programming languages (e.g. java, python, scala, C++)   + Exceptional communication skills   + Expertise with Hadoop ecosystem (especially spark) is a plus   + Expertise with ETL processes is a plus  *Qualifications** Education:  + B.S. in CS, statistics, applied math, physics or other quantitative discipline   + Advanced degree (Masters or PhD) preferred  Experience:  + 2 - 7 years of experience in a role developing predictive or explanatory models and/or experimentation processes   + Experience working with data and analytics   + Experience with moderate to large-scale data sets (>100GB) preferred   + Experience with neural nets and deep architectures preferred  Required Skills:  + Core mathematical ability to understand, utilize and innovate on state-of-the art machine learning algorithms and/or statistical modeling   + Expertise in at least one production-quality programming languages (e.g. java, python, scala, C++)   + Exceptional communication skills   + Expertise with Hadoop ecosystem (especially spark) is a plus   + Expertise with ETL processes is a plus   NIKE, Inc. is a growth company that looks for team members to grow with it. Nike offers a generous total rewards package, casual work environment, a diverse and inclusive culture, and an electric atmosphere for professional development. No matter the location, or the role, every Nike employee shares one galvanizing mission: To bring inspiration and innovation to every athlete* in the world.   NIKE, Inc. is committed to employing a diverse workforce. Qualified applicants will receive consideration without regard to race, color, religion, sex, national origin, age, sexual orientation, gender identity, gender expression, veteran status, or disability.  *Job ID:** 00398317 *Location:** United States-Oregon-Portland *Job Category:** Marketing, Marketing & Communications"
7, Slalom LLC.,Data Scientist,"Portland, OR",,"145,000","Job Title:  Data Scientist, Data & Analytics   Slalom is a purpose-driven consulting firm that helps companies solve business problems and build for the future, with solutions spanning business advisory, customer experience, technology, and analytics. We partner with companies to push the boundaries of what’s possible—together.   Founded in 2001 and headquartered in Seattle, WA, Slalom has organically grown to 6,000+ employees. We were named one of Fortune’s 100 Best Companies to Work For in 2016, 2017 and 2018, and are regularly recognized by our employees as a best place to work. You can find us in 27 cities across the U.S., U.K., and Canada.   Slalom Portland is looking for a Data Scientist who can both advise and deliver for clients looking to solve their most critical business challenges. This individual will be an integral part of Portland’s Data and Analytics Practice and, in addition to working with clients, collaborate closely with members of the Slalom team who are focused on data visualization, data architecture and engineering, advanced analytics, data strategy, and process.  Responsibilities:  • Deliver solutions leveraging latest machine learning (ML) techniques, including exploratory data analysis, feature engineering, model selection, model evaluation and cross-   validation, and deployment and productionalization at all scales.   • Collaborate with client data science teams to enhance, scale, and operationalize existing models.   • Communicate effectively with both technical and nontechnical stakeholders.   • Provide thought leadership on latest ML and artificial intelligence (AI) technologies and applications to client industry and use cases.   • Conduct and support white-boarding sessions, workshops, design sessions, and project meetings as needed, playing a key role in client relations.   Qualifications:  • Quantitative background with 3+ years of experience applying data science to solve real-world business problems.   • Experience with core quantitative analysis techniques (e.g., predictive modeling, ML, AI, or natural language processing).   • Strong interest in applying data science to solve real-world business problems.   • Exceptional analytical, conceptual, and problem-solving abilities.   • Advanced knowledge of Python, R, or other advanced analytics platforms.   • Working knowledge of SQL for the use of data extraction, cleansing, and analysis.   • Knowledge of relational and dimensional database structures, theories, principles, and practices.   • Highly self-motivated to deliver both independently and with strong team collaboration.   • Experience running distributed processing on Hadoop or Spark.   • Experience with solution architecture on cloud platforms such as AWS, Azure, GCP, etc.   • Graduate degree in a technical field (computer science, applied mathematics, statistics, etc.).   • Experience using data visualization tools such as Tableau, Qlik, or Power BI is a plus.   Slalom is an equal opportunity employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law."
8, First Tech Federal Credit Union,Senior Data Scientist,"Hillsboro, OR",,"132,000","We’re looking for a Senior Data Scientist to join our Enterprise Digital Analytics team. The Senior Data Scientist will lead analytics initiatives and provide expertise on mathematical concepts, work with teams to identify and prioritize actionable, high-impact insights, and recommend ongoing improvements to methods and algorithms. Qualified applicants will have 6+ years’ experience with relevant experience in Analytics/Data Science working with large amounts of data; plus, expert command of the English language, persuasive written and verbal communication and an ability to effectively tell stories with data. Here's what you can expect from the job and what you need to be successful: Job duties Accelerate stakeholder and First Tech business growth and success with meaningful insights gained via advanced analytics models and solutions targeted to answer the most important business questions Consult stakeholders about how advanced analytics and a data-driven approach can help them achieve greater success in driving their business units Work with cross-functional team members to identify and prioritize actionable, high-impact insights across a variety of core business areas Develop predictive/prescriptive models on large-scale datasets (structured and unstructured) to address various business problems; develop deep-dive analysis and machine learning models to drive member value and partner success Research, design, implement and validate cutting-edge algorithms/models to analyze diverse sources of data to achieve targeted outcomes Deliver informative and effective findings, results and recommendations from statistical analysis to stakeholders (able to articulate the findings clearly to both technical and non-technical audiences) Initiate and drive projects to completion independently, including helping stakeholders to integrate advanced analytics assets into their operational processes Recommend ongoing improvements / tuning to methods and algorithms currently in use/production Work with a team of analysts and cross-functional business teams to provide expertise on mathematical concepts that are leveraged across the breadth of our solutions for the entire organization Provide technical guidance and mentorship to junior team members on analytics and analysis best practices, solution design as well as lead code/design reviews Process, cleanse, and verify the integrity of data used for analysis Essential skills Minimum 6 years’ relevant experience in Analytics/Data Science working with large amounts of data Expert command of the English language, persuasive written and verbal communication and an ability to effectively tell stories with data Proficiency in the use of statistical programming languages (R/Python) Experience with SQL/Relational databases Strong experience in data mining, NLP, predictive and prescriptive analytics approaches Deep understanding of machine learning (ML) techniques include clustering, classification, regression, decision trees, neural nets, support vector machines, genetic algorithms, anomaly detection, association rules, sequential pattern discovery, and text mining Experience with data visualization tools (Tableau preferred) Strong analytical and problem solving skills. Ability to translate business objectives into actionable analyses Comfortable with ambiguity and yet able to steer analytics projects toward clear business goals, testable hypotheses and action-oriented outcomes A focus on delivering business results including improved end-to-end customer experience and financial metrics. Able to function effectively in multi-disciplinary teams that include business and technical contributors Bachelor's or Master’s degree in Mathematics, Statistics or Computer Science or other related fields preferred Location: Hillsboro, OR 97214 and San Jose, CA 95134 First Tech is not currently offering Visa sponsorship or transfers  I acknowledge that if hired by the company, employment is on an at-will basis. This means the company is free to terminate my employment at any time, with or without cause or advance notice. Similarly, I am free to terminate my employment with the company at any time for any reason. I agree to conform to the rules and regulations of the company, and I understand that the company has complete discretion to modify such rules and regulations at any time, except that it will not modify its policy of employment at-will."
9, Vesta Corporation,Data Scientist,"Lake Oswego, OR",,"109,000"," We are looking for a  Data Scientist  to become part of our outstanding risk management team. The role of the  Data Scientist  is to discern fraudulent transactions from a large pool of legitimate ones. You will achieve this by leveraging all the data available to build complex models and rules for real-time decisions. To succeed in this role, you must demonstrate the ability to leverage new technology and advanced machine learning to analyze and discover new insights to achieve the company's operational and strategic goals. The ideal candidate for this position has strong analytical skills, enjoys problem solving, and is passionate about fighting fraud.  Position Responsibilities: Manage large customer accounts by optimally balancing transaction approval rates and loss rates Analyze large volumes of data to understand consumer behavior, identify patterns of good and fraudulent activities, and eventually take effective actions Monitor for newly developing fraud patterns and determine when to take further actions Develop and implement predictive models for fraud detection Analyze and implement decision rules to combat developing fraud attacks Be capable of making decisions with limited information and ambiguous situations Be capable of taking initiatives in identifying and solving problems Qualifications: M.S. or PhD in Computer Science, Statistics, Applied Math, or a quantitative field with a strong background in machine learning or data mining Strong knowledge and experiences in machine learning and statistical modeling (e.g. neural networks, decision trees, clustering and regression analysis) is required Expertise in data warehouse and SQL programming is required Expertise in one of the statistical programing languages (Python, R, SAS/Base, SAS/Stats, SAS Enterprise Miner) is required Experience in payment fraud detection and prevention is a plus Familiarity with open source Python based ML libraries is a plus Experience with cloud computing (AWS) is a plus"
