,Company,Job Title,Location,Rating,Salary,Description
0,WSECU,Senior Marketing Analyst,"Portland, OR",,," We look forward to reviewing your application!All applicants must include a resume.   Visa sponsorship not available.   Contact us at 1-800-562-0999 ext. 11111 with any questions.We are an affirmative action and equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, creed, national origin, ancestry, sex, age, physical or mental disability, veteran or military status, genetic information, sexual orientation, gender identity, marital status, or any other legally recognized protected basis under federal, state or local law. Our Marketing Team has been on a data-driven journey, integrating more and more data and analysis into our marketing to better serve our current and future members. As we continue the transformation, we’ll need an experienced analyst who can take us to the next level. This is a new role for the organization, so the right person will have significant impact. If you have hands-on experience in data extraction, dashboard creation, data analysis, marketing mix modeling, multi-touch attribution and full funnel reporting, we want to hear from you!  Your day may include: Providing direct analytical support to business stakeholders and leaders to prioritize, execute, analyze and optimize marketing initiatives Identifying future audiences for marketing opportunities based on both internal data sets, as well as existing market data Providing segmentation and personalization recommendations for digital marketing channels, as well as optimizing existing marketing systems and processes Leveraging data to identify areas of growth through top-of-funnel expansion, mid-funnel acquisition and conversion, optimal channel spend and optimal touchpoint strategy for members and future members Creating, modifying, and assembling Tableau reports to satisfy evolving data requirements, with a focus on measuring marketing campaigns Utilizing statistical techniques to assess channel efficiency and recommending optimal marketing mix and spend by channel and by product Determining the cadence and sequence of customer touchpoints across channels Analyzing path to conversion and identifying fractional attribution of each touchpoint in members’ journeys Identifying business trends and shifts and recommending data-driven responses Performing ad-hoc statistical analysis (logistic regression, IV regression and quasi-experimental methods, and difference-of-means testing) Building business cases for new channels, projects and technologies Serving as a best-practices and implementation owner for A/B tests and other controlled experiments What you bring to the team: Bachelor of Science Degree in Mathematics, Physics, Economics, Computer Science, Statistics or other quantitative fields Where it’s located : Olympia, WA  When you’d work:  Monday – Friday, 8:00 am – 5:00 pm, with flexibility required to meet business needs  How much you’ll earn:  $67,864.00 - $101,796.00 (exempt), DOQ, plus an excellent benefits package!   IND1"
1,Fisher Investments,Business Intelligence Data Analyst,"Portland, OR",,"67,000"," Job Description Overview The Opportunity:  The 401k Solutions Team (4S) is a seeking a Business Intelligence Data Analyst to support their analysis needs and the use of the group’s business intelligence tool. This includes the creation of new graphs (“cards”) and card collections, system administration, creation of new data flows and data sets to support our growing business needs, guidance, support, and certifications on internally built cards, and the evaluation of system enhancements and new data sources. Your day will vary depending on team priorities and projects, but will generally be a mix of longer-term projects, research efforts, and ongoing daily responsibilities tied to the work of the team.  The Day-to-Day: Oversee the creation, calculation, and internal certification of cards related to key performance indicators Turn business ideas, and questions into sound and repeatable analysis to understand team operations and support the future growth of the business Provide internal Domo analytics, and calculation logic assistance Card building and card certifications Analyze built cards and help articulate the meaning to 4S management Assist in the data architecture, the creation of flows, and the evaluation of new functionality to support the enterprise use of Domo Help in defining tech business requirements related to Domo Oversee 3rd party analytics vendors, including review of built cards and card methodology Qualifications: Bachelor’s degree from a four-year college or university or equivalent combination of education/experience Minimum of five years of professional work experience, with at least three years in a data analytics capacity Experience working with business intelligence tools (Domo is preferred, but others acceptable as well) Strong quantitative, data analysis, and analytical thinking skills is required Good communicator and comfortable working with senior leadership within the group Demonstrated excellence at presenting complex development topics to both executive and technical personnel Ability to work independently and manage multiple task assignments Strong knowledge and application of data literacy Strong problem solving and troubleshooting skills with the ability to exercise mature judgment. Experience in recognizing business problems and recommending/developing solutions Why Fisher Investments:  Fisher Investments is a different kind of investment firm. We don’t come from Wall Street, nor do we believe we fit in with most of the finance industry, and we’re proud of that. We work for a bigger purpose: bettering the investment universe. From unmatched service to innovative perspectives on investing, it’s the people that make the Fisher purpose possible. After all, it’s our people that enable us to offer the level of service that we do. And we invest in them accordingly, offering exceptional benefits like:  100% coverage of premiums for health, vision and dental insurance A 50% 401(k) match, up to the IRS maximum 20 days of PTO*, plus 9 paid holidays And much, much more  We also provide a cumulative, continuous learning and development framework customized for every employee. This emphasis on personal and professional growth has yielded an award-winning work environment; we’re Great Place to Work Certified, and The Oregonian named us as a 2017 Top Workplace with the best benefits!   But in the end, it’s not the perks that keep people here. They stay because they believe in our mission of service—our employees want to make a difference in an industry that can do better.   * California employees accrue up to 17 days of PTO and 3 days of sick time per year.   FISHER INVESTMENTS IS AN EQUAL OPPORTUNITY EMPLOYER"
2,Kongregate,Senior Data Analyst,"Portland, OR",,"93,000"," The Insights and Analytics team is responsible for providing data-driven insights and analytics support across the company. As a  Senior Data Analyst  you will work closely with product leaders across our different business units to provide actionable insights that will help them better execute their strategies. You will collaborate with data engineers ensure our data pipeline is stable, efficient and effective. You will help support a number of teams including marketing, game and platform product managers, third and first party game developers and finance. Due to this, you should feel comfortable context switching and supporting customers from various backgrounds. As a Senior Data Analyst you will be operating with minimal supervision. Our ideal candidate is an avid gamer and a SQL expert with a love for analytics and statistics. Essential Job Duties and Responsibilities  Help build internal tools to automate regular data analyses.  Drive analytical projects that span across multiple business units and functions.  Provide reporting and performance monitoring to game teams, marketing, and platform product managers using data drawn from diverse sources.  Work with data engineers to maintaining data integrity and transparency to increase data confidence across all business units that rely on it.  Establishing management dashboards to provide actionable and timely business insights.  Oversee the design and maintenance of standardized schemas for tracking game events and data. Basic and Preferred Qualifications (Education and/or Experience)  Quantitative degree (Engineering, Math, Economics, Finance, Computer Science, etc.) or equivalent experience.  5+ years of experience performing quantitative analysis, preferable for a technology company.  Expert knowledge of databases and SQL. Related Competencies Stellar Communication:  Clearly conveys information, ideas and findings through a variety of written and oral media to both technical and non-technical audiences. Visualizes data to make information accessible, approachable and actionable. Analytical Thinking:  Examines problems, situations, opportunities, and data to identify causes, key factors, and potential outcomes with the desire to improve overall business results. Creative Problem Solving:  Identifies novel approaches to solving problems. Discovers new opportunities or adapts solutions for problems by looking beyond current practices and uses innovative thinking. Complexity Management:  Quickly integrates complex information to identify strategies and solutions. Learns new concepts quickly, demonstrates keen insights into situations. Has the ability to assimilate large amounts of information and narrow it down to the core idea or issue. Minimum Qualifications, Job Skills, Abilities  Expert understanding of statistics.  Proficient problem-solving and analytical skills.  Proficient communication skills and ability to present data in an easy-to-understand format.  Proficient ability to explaining technical topics to a non-technical audience.  Experience supporting a B2C platform a plus.  Experience with A/B testing design and readouts.  Extensive experience querying large data sets.  Experience automating analysis using analytics packages in languages like R or Python.  Ability to execute research projects, and generate practical results and recommendations.  Self-motivated, intellectually curious, and ambitious.  Enjoy working in both individual and team settings.  This position can be filled at our  Portland or Montreal locations.  To apply, click here or use the application form below.  We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
3,Nike,Senior Business Data Analyst,"Beaverton, OR",,"98,000","At Nike, we serve athletes. Fueled by the insights of the world's best, we design and create products to elevate human potential on a global scale. And it's on us, the Global Operations Team (GOT), to help bring this mission to life.   We are a diverse lineup of thousands spread across the globe. Together, we are building a smarter, more connected and automated value chain. And we are looking for world-class talent like you to contribute to this journey.   As a Sr. Business Data Analyst on the Marketplace Analytics team with the Demand and Supply Management (DSM) organization, you will drive the integration of core data domains to be leveraged by Insights Delivery and Advanced Analytics teams to identify both successes and opportunities. You will improve Nikes marketplace analytics capabilities through robust data comprehension, prototype modeling, and cross-functional partnership. In this role, areas of focus include (1) data design to assist in business process evolution, (2) influencing team backlog prioritization and management, (3) reverse engineering to understand and evolve existing solutions, (4) researching critical source systems to automate ingestion and transformation, and (5) educating teammates on your robust knowledge of data requirements and data flows. This role will be vital to shape the landscape by which Marketplace Analytics interacts with and leverages data, as each release broadens available data sets and expands analytics self-serve capabilities.   You are a data evangelist with plenty of hands-on SQL experience and a comprehensive understanding of data architecture. In your daily work, you actively seek the most effective path forward, and are insistent on progress. You are equally comfortable working in a relational data store and a big data cloud eco-system. You gain a sense of accomplishment through empowering reporting and analytics, whether youre building a prototype for an inventory solution, or meeting with a business function to understand process and how it maps to data. To you, the importance of value-based solutioning, incremental progress, and failing fast is clear and you can demonstrate how each of these helps to drive business results. You enjoy finding relationships between disparate data sets and clarity in a muddied data environment. When it is time to simplify a complex technical idea onto a white board for a non-technical audience, you want the pen in your hand. Qualifications Bachelors degree in Computer Science, Information Systems, Business or other relevant areas Between 5-7 years professional experience required Proven ability to perform thorough data analysis and present relevant results Proven ability to sift through data, identify critical information, analyze, and develop solution options Strong presentation skills, and excellent written and verbal communication skills, including stakeholder management, backlog management, and demonstrated cross-functional alignment Demonstrated ability to think critically and seamlessly collaborate with engineering partners Strong technical skillset (SQL, Data Modeling, Business Requirements; producing within a Big Data environment is a significant plus) Experience working in an Agile / Scrum environment is a plus"
4,adidas,Data Analyst,"Portland, OR",,"52,000","Purpose  The Finance Data Analyst collects, analyzes, structures and stores various types of company data using a wide range of methods and develops solutions for storing it. Conducts quantitative analysis and takes responsibility for the integrity of data and data processes. Manages data and data flows along all aspects of adidas Business Intelligence technology stack, using software tools like SQL (MS SQL Server), Alteryx, MicroStrategy and Tableau.   Key Accountabilities   Data Analytics   Responsible for extracting, curating, transforming, and storing Finance data and making it available to cross-functional teams Works with other departments like Marketing Finance, Finance Planning & Analysis and other Finance functions in mining and analyzing financial and transactional data Supports data automation of daily tasks to save end users (reporting analysts) time Monitors data processing jobs an ensure they meet SLAs Supports Senior Data Analyst on issue fixing and keep systems running   Knowledge, Skills and Abilities   Excellent analytical and numerical skills Experienced in dealing with databases (understanding tables and views and adjusting/writing SQL queries) Experience working with statistical software (e.g. R and Python), database languages/tools (e.g. SQL, SAP HANA, Exasol) and data visualization software (e.g. MicroStrategy, Tableau, Power BI) Experience with OLAP tools (e.g. TM1) Advanced MS Excel skills (macros and complex formulas) Ability to simplify and communicate complex data to different types of audience Experience in MicroStrategy, Tableau, or Power BI Process automation and Machine Learning exposure is a plus  Minimum Qualifications  BS degree in a quantitative discipline, or equivalent practical experience 2 years of relevant work experience in data analysis or related field Experience designing relational databases, including ETL design, schema design and dimensional data modeling Fluent in English"
5,ProKarma,Data Scientist,"Portland, OR",,"136,000","Description  ProKarma is currently seeking a Data Scientist to join our team as a full-time employee in Portland, OR!  Responsibilities Interviewing key project stakeholders, documenting findings and making detailed recommendations Assess and frame the business problem, success criteria, and risks Acquire and blend disparate data sources, which could be any format of internal structured, unstructured, external, or high volume sources Exploratory data mining & analysis Guide clients through processes to identify meaningful predictors and then engineer representative features into the data set Understand best practices on core set predictive use cases & be familiar with model libraries Understands CRISP-DM methodology Qualifications Minimum 3 years of relevant data science experience Ph.D. or Master’s Degree in operations research, applied statistics, data mining, machine learning, physics or a related quantitative discipline preferred Experience with Hive SQL and Spark and/or Python and/or Scala Deep understanding of statistical and predictive modeling concepts, machine-learning approaches, clustering and classification techniques, and recommendation and optimization algorithms Strong analytical and problem-solving skills Excellent written and verbal communication skills  In order to provide equal employment and advancement opportunities to all individuals, employment decisions at ProKarma are based exclusively on merit.? ProKarma does not discriminate in employment opportunities or practices on the basis of race, color, religion, sex, national origin, age, or any other characteristic protected by law.?? "
6,Worksource Oregon,Analyst,"Portland, OR",,," Application Deadline: Open Until Filled Job Location: Portland  Date Posted: 09/28/2018 Hours Worked Per Week: 40  Shift:   Day Shift  Duration of Job: Full Time, more than 6 months You may contact this employer directly.  (Obtain the contact information to print or add to your jobs.)   Having difficulty using this button?  Job Summary: Description   An Analyst supports Lead Analysts to complete tasks with limited oversight. This position will work both individually and as part of a team to support data production in an ArcMap and CADD environment; producing finalized data deliverables based on client requests. An Analyst will coordinate with the Team Leader and senior technical leads towards the completion of project requirements. This includes providing technical support, quality control and training for technicians and contractors. The Analyst will also work toward identifying and developing process improvements and efficiencies. It is expected that areas of specialty may start to develop within this position.  Responsibilities Assists in problem solving and workflow automation Performs rigorous quality control and deliverable creation Trains technicians/contractors using training best practices and helps with their troubleshooting Maintains awareness of the status of all projects within the team Works independently with minimal oversight Supports team and individual goals Proven leadership skills in small groups Takes ownership of work, and is proactive with communicating updates Tasks and creates work for technicians as needed Assists in training of workflow and methods Assists with data reporting and archiving All other reasonable duties as assigned  Knowledge, Skills, and Abilities  Good communication skills & professionalism Can maintain efficiency and quality while performing repetitive tasks Understands how the data interacts across the workflow Consistently produces precise and accurate work Maintains good data management and file organization practices Understands resolution and statistical accuracy analysis Understands utilization and effective rates Shows problem solving ability across software platforms Shows flexibility when being tasked Confident working in a 3D environment Can work well within a team environment as well as independently with limited oversight Aptitude for learning multiple geospatial software programs Demonstrates strong aptitude for efficiency, accuracy in tasks, and organization Ability to learn from mistakes and take constructive criticism Strong writing skills Strong critical thinking skills Ability to train others using clear communication and provided program tools Ability to maintain a professional and positive demeanor in times of stress Minimum Qualifications Proficiency in MS Office Suite and Google Drive 6+ months of technician or equivalent experience 1+ year of experience in a professional work environment Bachelor's degree, or equivalent experience Moderate knowledge of ESRI or vector-based software and TerraSolid products  Preferred Qualifications+  Masters or higher Knowledge of Python, CADD, and Visual Basic 2... For full info follow application link.  It is the policy of Quantum Spatial to provide equal opportunity for all qualified persons and not to discriminate against any employee or applicant for employment because of race, color, religion, sex, age, national origin, sexual orientation, veteran status, disability, or any other protected status.  Job Classification: Computer Systems Analysts  Access our   statewide   or   regional   occupation report for more information about wages,   employment outlooks, skills, training programs, related occupations, and more.  Compensation  Salary: Depending on Experience  Job Requirements  Experience Required: At least 1 year  Education Required: Bachelors Minimum Age: N/A  Gender: N/A"
7,Nike,Senior Data Analyst Marketplace Analytics Multiple Openings,"Beaverton, OR",,"107,000"," At Nike, we serve athletes. Fueled by the insights of the world's best, we design and create products to elevate human potential on a global scale. And it's on us, the Global Operations Team (GOT), to help bring this mission to life.   We are a diverse lineup of thousands spread across the globe. Together, we are building a smarter, more connected and automated value chain. And we are looking for world-class talent like you to contribute to this journey.   At Nike we are always on the offense, and we are looking for talented self-starters with a passion for data and analytics to join our growing team. We are responsible for leveraging predictive analytics to enhance decision making and drive to action against our strategic priorities, elevating the function of analytics within Nike.   As a Senior Data Analyst for Global Marketplace Analytics, you will be a key contributor to the building and promoting of multiple platforms that provide actionable insights and support critical business and investment decisions. You will work side by side with our data scientists and engineers, and in close partnership with other business intelligence and data product teams.   The role is perfect for a data evangelist who is self-motivated and unconventionally curious, especially about how data can be used to inform consumer demand. You enjoy finding relationships between disparate data sets and clarity in a muddied data environment. You are highly proficient in SQL, competent in a variety of scripting languages, well-versed in automation techniques and at home in a cloud based big data environment. You have a healthy degree of skepticism and the ability to speak data truth to power. You also know how to rise above the numbers and explain the essential insights to business users, and you instinctively minimize complexity to focus on results. While you rely on data to prove your point, you love to think outside the box and solve problems creatively. You thrive in an entrepreneurial environment, and you are excited by the challenge of building something from the ground up. You ask questions, are continually learning as well as finding opportunities to share knowledge with others.  Qualifications Bachelor's degree in Computer Science, Information Systems, Stats, Business, or other relevant subject area. Masters Degree preferred Minimum 5-7 years of relevant professional experience with an emphasis on building data products. Experience in data wrangling and strong SQL skills required (Snowflake, Oracle, TeraData). Proven ability to sift through data, perform analysis, identify critical information, and develop solution options is essential. Statistical knowledge and experience a plus. Commitment to and hands-on experience in performing technical code reviews and data issue triage. Working knowledge of Scrum and agile principles. Experience with Git and Amazon Web Services strongly preferred. Demonstrated ability to think critically and seamlessly collaborate with data science and engineering partners. Strong project management capabilities to manage multiple project streams and complexity; propensity for thinking through projects in a process-oriented way. Strong presentation skills, and excellent written and verbal communication skills. Familiarity with Tableau, as well as data analysis/visualization packages in R or Python is a plus."
8,Simple,Senior Product Data Analyst,"Portland, OR",,"84,000","The Company:  We're a tech company that's changing how people bank and think about their finances. We value empathy, curiosity, craft and efficacy. Our mission is to help people feel confident with their money. We do that by bringing humanity, elegance and ease to the consumer banking experience. And we make banking beautiful.  The Team  Analytics is responsible for informing Simple's key product, marketing and strategy decisions with data insights. We shape how Product, Marketing, and Simple as a whole use data to drive rapid learning and iteration. As part of the Finance and Analytics department, we are the voice of actionable insights on Simple's management team.  About You:  You have a passion for data and have spent your career honing your analytical instincts. Your work blends a deep appreciation for great data analysis with the business-savviness to make it meaningful. You love discovering actionable data insights and working with stakeholders to put those insights to use. You are excited to work in a dynamic startup environment and shape how a product organization uses data.  What You'll Do All Day  As a Senior Product Data Analyst at Simple, you will play a lead role in developing data insights that drive Simple's product decisions. You will draw on deep data knowledge, business savviness, and a strong analytics toolkit to scope and deliver analysis of who our customers are, how they use our product, and how we impact them. You will work directly with product managers and executive leadership to ensure your insights get heard and used. You will shape how Simple's Product team uses data. As a data leader in the company, you will be a mentor and a trusted source for data, insights, and methodology.   You'll do this through:  Partnering with Simple's product teams to develop data insights that inform product design Using statistics and other measurement techniques to understand how new products impact customer behavior and company performance Conducting data analyses to understand how and why customers use Simple and presenting strategic takeaways to Simple's executive team Presenting on findings and takeaways across the company, to everyone from executives to peers Developing dashboards that shape how product managers and the management team think about the business Acting as a data and thought leader for the company and a mentor for the analytics team We'd Like To See: 5+ years experience in business analysis, data analytics, data science, statistics, or related field Consistent record of conducting proactive, business-relevant data analysis and distilling actionable takeaways and recommendations Experience designing and evaluating statistical tests to measure the impact of product releases or other business decisions Well-versed in SQL or similar database languages and familiarity with Python, R or other statistical packages Familiarity with BI tools such as Power BI, Tableau or ChartIO Strong presentation and communication skills, with experience working with executives and stakeholders at all levels Experience mentoring junior analysts strongly preferred Ability to thrive in a fast-paced, dynamic environment and drive change Details:  We recognize the dire lack of diversity in our industry, and we're not okay with it. We actively seek to address it with our hiring and retention processes, as well as our office culture. If you're on the fence about whether you're a fit, we say go for it, and apply!  Why Simple's a Great Place to Work: Based in Portland, Oregon-- a beautiful place to live and work. Competitive salary and benefits package. A supportive and nurturing place to work. We actively consider how we can improve employees' quality of life--both inside and outside the office. Committed to hiring quality human beings. Simple is a place where others will watch out for you and help you learn. We actually like and respect each other. We give a damn about what we do, both as individual contributors and as a company on a mission to change banking. We're passionate and nerdy about our work; in fact we're kind of that way about things outside of work, too.  In compliance with federal law, all persons hired will be required to verify identity and eligibility to work in the United States and to complete the required employment eligibility verification document form upon hire. Email our team at careers@simple.com if you need an accommodation in the application process.   A background check will be required for this opportunity.   Simple provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, national origin, age, disability, or genetics. In addition to federal law requirements, Simple complies with all applicable state and local laws governing nondiscrimination in employment in every location in which the company has employees. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation and training.   By submitting this application, you certify that the facts contained in your application are true and complete to the best of your knowledge. If you are employed, false statements on your application will be grounds for termination."
9,Adidas Group,Senior Finance Analyst,"Portland, OR",,"57,000"," PurposeSupport the financial performance and delivery of analytics for Concept-to-Consumer (CTC) organization. Acts as key business partner to the assigned Director(s) within CTC. Ensures integrity and transparency of performance measurements against plans to assure financial and non-financial targets are achieved. Provides financial decision support for strategic and tactical decisions.   Key Accountabilities   Collaborates with assigned CTC director(s) to plan, forecast, and control budgets.   Provides action-oriented financial guidance and analysis on business plans and goals to support the CTC Team in effective decision-making and the achievement of targeted profitability and sales growth.   Drives cross functional alignment on financial, KPI and ROI reporting and analysis for CTC Team.   Supports ROI analysis of CTC activities to inform and support profitable marketing investments.   Collaborates with CTC on strategic topics to address business risks and opportunities and to influence the outcome.   Ensures financial and non-financial managers are provided top notch and highly accurate information and analysis throughout the go to market (GTM) process.   Collaborates on creative solutions to minimize business risks and maximize business opportunities. Ensures that proper post mortem analyses are executed.   Prepares weekly, monthly, quarterly, and ad hoc analysis utilizing data from multiple internal and external sources.   Provides regular reviews to key stakeholders on relevant metrics. Helps develops creative solutions to ensure KPIs are achieved.   Knowledge Skills and Abilities   Demonstrated analytical skills, comfort with Finance and/or Accounting principles and good understanding and experience with retail math and retail financial drivers.   Proven cross functional ability to create creative and innovative solutions within an entrepreneurial environment.   Strong prioritization skills and the ability to accomplish multiple assignments under tight timelines.   Ability to effectively present information and respond to questions from managers, stakeholders, business partners, peers and external agencies.   Understanding in fundamental database design and development beneficial. Ability to gather data from multiple sources, manipulate the data, and create compelling visuals to support demand-driven and action-based reporting and analysis.   Advanced skills in Excel and Access. Strongly proficient skills in Word, PowerPoint, and Microstrategy/Tableau.  Minimum Qualifications University degree in Finance, Accounting or Business Three to five years experience in financial analysis or planning Industry specific experience preferred Solid accounting skills and experience preferred Familiarity with relevant adidas and industry data, data providers and data analysis a major plus"
